iter	Passed	Remaining
0	0	94
1	1	84
2	2	80
3	3	73
4	3	74
5	4	75
6	5	76
7	7	80
8	8	82
9	9	82
10	9	80
11	10	78
12	11	76
13	12	74
14	12	72
15	13	71
16	14	69
17	14	68
18	15	66
19	16	64
20	16	62
21	17	61
22	17	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	27	47
37	28	46
38	28	45
39	29	44
40	29	43
41	30	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	23
65	44	23
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	50	16
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
