iter	Passed	Remaining
0	155	155205
1	156	78215
2	157	52406
3	158	39505
4	159	31763
5	160	26570
6	161	22860
7	161	20087
8	162	17944
9	163	16228
10	164	14823
11	165	13639
12	166	12649
13	167	11790
14	168	11042
15	168	10385
16	169	9814
17	170	9308
18	171	8844
19	171	8427
20	172	8049
21	173	7703
22	174	7392
23	174	7102
24	175	6837
25	176	6593
26	176	6372
27	177	6170
28	178	5984
29	179	5807
30	180	5642
31	181	5489
32	182	5345
33	183	5212
34	184	5085
35	185	4963
36	186	4843
37	186	4730
38	187	4624
39	188	4522
40	189	4425
41	189	4331
42	190	4240
43	191	4157
44	192	4077
45	192	4001
46	193	3928
47	194	3858
48	195	3792
49	196	3725
50	196	3661
51	197	3601
52	198	3543
53	198	3484
54	199	3429
55	200	3375
56	200	3324
57	201	3274
58	202	3225
59	202	3178
60	203	3132
61	204	3087
62	204	3047
63	205	3008
64	206	2968
65	207	2931
66	208	2896
67	208	2861
68	209	2830
69	210	2796
70	211	2771
71	212	2741
72	213	2711
73	214	2681
74	215	2652
75	215	2624
76	216	2596
77	217	2569
78	218	2542
79	218	2517
80	219	2493
81	220	2467
82	220	2439
83	221	2415
84	222	2396
85	223	2373
86	224	2352
87	225	2331
88	225	2310
89	226	2290
90	227	2271
91	228	2253
92	229	2233
93	229	2214
94	230	2196
95	231	2177
96	232	2160
97	232	2142
98	233	2125
99	234	2108
100	234	2091
101	235	2075
102	236	2060
103	237	2045
104	238	2030
105	238	2014
106	239	2000
107	240	1984
108	240	1969
109	241	1954
110	242	1939
111	242	1925
112	243	1910
113	244	1896
114	244	1882
115	245	1868
116	245	1854
117	246	1841
118	247	1829
119	247	1816
120	248	1805
121	249	1795
122	250	1784
123	250	1773
124	251	1762
125	252	1751
126	253	1740
127	254	1730
128	254	1721
129	255	1711
130	256	1700
131	257	1690
132	257	1681
133	258	1671
134	259	1661
135	259	1651
136	260	1641
137	261	1632
138	261	1622
139	262	1613
140	263	1604
141	263	1593
142	264	1585
143	265	1576
144	265	1567
145	266	1558
146	267	1551
147	268	1543
148	268	1535
149	269	1528
150	270	1519
151	270	1511
152	271	1503
153	272	1494
154	272	1486
155	273	1478
156	273	1470
157	274	1462
158	275	1454
159	275	1447
160	276	1438
161	276	1430
162	277	1423
163	277	1416
164	278	1409
165	279	1402
166	279	1395
167	280	1388
168	280	1381
169	281	1374
170	282	1367
171	282	1361
172	283	1355
173	284	1348
174	284	1342
175	285	1337
176	286	1331
177	287	1325
178	287	1319
179	288	1313
180	288	1307
181	289	1300
182	289	1294
183	290	1288
184	291	1282
185	291	1276
186	292	1270
187	292	1265
188	293	1259
